CODE;X_LONG;Y_LAT
CARZO_413;-70.69752239;-17.4645767
CARZO_414;-70.69750495;-17.46456262
CARZO_415;-70.69750411;-17.46452875
CARZO_416;-70.69778927;-17.4649113
CARZO_417;-70.69809219;-17.46569376
CARZO_418;-70.69798792;-17.46591772
CARZO_419;-70.6982496;-17.46609919
CARZO_420;-70.69807501;-17.46630228
CARZO_421;-70.69857926;-17.46617245
CARZO_422;-70.6987277;-17.46621829
CARZO_423;-70.69876299;-17.46644821
CARZO_424;-70.69863592;-17.46667922
CARZO_425;-70.69834884;-17.46680553
CARZO_426;-70.70878691;-17.47728651
CARZO_427;-70.71075054;-17.47886441
CARZO_428;-70.71500276;-17.49750366
CARZO_429;-70.71499958;-17.49750056
CARZO_430;-70.71499564;-17.4974962
CARZO_431;-70.71499589;-17.49749235
CARZO_432;-70.71505959;-17.49739051
CARZO_433;-70.71504903;-17.4973776
CARZO_434;-70.71504794;-17.4973315
CARZO_435;-70.7150502;-17.49733049
CARZO_436;-70.71515012;-17.49726227
CARZO_437;-70.71515154;-17.49725665
CARZO_438;-70.71515104;-17.49725615
CARZO_439;-70.71516646;-17.49722128
CARZO_440;-70.71516654;-17.49721985
CARZO_441;-70.71519018;-17.49714048
CARZO_442;-70.71539428;-17.4969632
CARZO_443;-70.71579125;-17.49410011
CARZO_444;-70.71489371;-17.49280578
CARZO_445;-70.71490687;-17.49287115
CARZO_446;-70.71478358;-17.48377201
CARZO_447;-70.71365864;-17.48339449
CARZO_448;-70.71563157;-17.4839306
CARZO_449;-70.71568002;-17.48379104
CARZO_450;-70.71561288;-17.48378576
CARZO_451;-70.71568295;-17.4836985
CARZO_452;-70.71574171;-17.48366514
CARZO_453;-70.71670605;-17.48332148
CARZO_454;-70.7167006;-17.48331629
CARZO_455;-70.71685634;-17.48315686
CARZO_456;-70.71679045;-17.48251841
CARZO_457;-70.7167146;-17.48229629
CARZO_458;-70.71671518;-17.4823154
CARZO_459;-70.71659088;-17.48225396
CARZO_460;-70.71652642;-17.48216914
CARZO_461;-70.71575236;-17.48110062
CARZO_462;-70.71584539;-17.48083851
CARZO_463;-70.7157775;-17.48083608
CARZO_464;-70.71548129;-17.48087833
CARZO_465;-70.71490981;-17.48090188
CARZO_466;-70.71505062;-17.47850642
CARZO_467;-70.7150668;-17.47849074
CARZO_468;-70.71488726;-17.47843039
CARZO_469;-70.71487242;-17.47818078
CARZO_470;-70.714885;-17.47803586
CARZO_471;-70.71406483;-17.47688569
CARZO_472;-70.71389266;-17.47568113
CARZO_473;-70.71423917;-17.47545968
CARZO_474;-70.71199492;-17.47600702
CARZO_475;-70.71130215;-17.47597441
CARZO_476;-70.71259288;-17.47784265
CARZO_477;-70.71209198;-17.47777669
CARZO_478;-70.71026967;-17.4776927
CARZO_479;-70.71625267;-17.5023935
CARZO_480;-70.71646574;-17.50218471
CARZO_481;-70.71657269;-17.5021858
CARZO_482;-70.71654746;-17.50218345
CARZO_483;-70.71664268;-17.50224531
CARZO_484;-70.71668853;-17.5022464
CARZO_485;-70.71670102;-17.50224682
CARZO_486;-70.71673589;-17.50222418
CARZO_487;-70.7167317;-17.50222335
CARZO_488;-70.71676665;-17.50225595
CARZO_489;-70.71678417;-17.5022495
CARZO_490;-70.71683773;-17.50224472
CARZO_491;-70.71686254;-17.50222829
CARZO_492;-70.71756377;-17.50457967
CARZO_493;-70.71757433;-17.50458243
CARZO_494;-70.71763854;-17.50458076
CARZO_495;-70.7177672;-17.50456634
CARZO_496;-70.71817523;-17.50463457
CARZO_497;-70.71818613;-17.50463557
CARZO_498;-70.7184556;-17.50591164
CARZO_499;-70.71940829;-17.50855596
CARZO_500;-70.72173393;-17.51467416
CARZO_501;-70.72360368;-17.51550732
CARZO_502;-70.7241071;-17.51573028
CARZO_503;-70.72654741;-17.52609928
CARZO_504;-70.72588943;-17.52555488
CARZO_505;-70.72515182;-17.52554591
CARZO_506;-70.72768299;-17.53339271
CARZO_507;-70.73053133;-17.53604332
CARZO_508;-70.73060132;-17.53680532
CARZO_509;-70.71488399;-17.50539891
CARZO_510;-70.7261465;-17.5308395
CARZO_511;-70.72847759;-17.54126173
CARZO_512;-70.72865185;-17.54117439
CARZO_513;-70.72865185;-17.5411743
CARZO_514;-70.7286516;-17.54117489
CARZO_515;-70.72850442;-17.5413411
CARZO_516;-70.72845153;-17.54140581
CARZO_517;-70.7282968;-17.5413732
CARZO_518;-70.7283543;-17.54154512
CARZO_519;-70.72756246;-17.54155417
CARZO_520;-70.72793813;-17.54215859
CARZO_521;-70.72793151;-17.54215473
CARZO_522;-70.72825522;-17.5428024
CARZO_523;-70.72823552;-17.54280224
CARZO_524;-70.72824902;-17.54279729
CARZO_525;-70.72823519;-17.54276695
CARZO_526;-70.72816604;-17.54278748
CARZO_527;-70.72814223;-17.54279704
CARZO_528;-70.72811566;-17.54281657
CARZO_529;-70.72718929;-17.54236839
CARZO_530;-70.72719231;-17.54235246
CARZO_531;-70.72718259;-17.54232036
CARZO_532;-70.72718653;-17.54229454
CARZO_533;-70.72718477;-17.54227661
CARZO_534;-70.72717655;-17.54219681
CARZO_535;-70.72717178;-17.54220192
CARZO_536;-70.72717798;-17.54218072
CARZO_537;-70.72718561;-17.54210964
CARZO_538;-70.72717714;-17.54210855
CARZO_539;-70.72718301;-17.54209983
CARZO_540;-70.72719164;-17.54203051
CARZO_541;-70.72718946;-17.54203135
CARZO_542;-70.72719005;-17.54202968
CARZO_543;-70.72719114;-17.54194334
CARZO_544;-70.72718636;-17.54194393
CARZO_545;-70.72718326;-17.54191451
CARZO_546;-70.72717387;-17.5419078
CARZO_547;-70.72910883;-17.54356734
CARZO_548;-70.72748518;-17.544013
CARZO_549;-70.7272188;-17.54450686
CARZO_550;-70.72762976;-17.54627201
CARZO_551;-70.72783261;-17.5463073
CARZO_552;-70.72785876;-17.54648306
CARZO_553;-70.72792254;-17.54725914
CARZO_554;-70.72820183;-17.54789365
CARZO_555;-70.7304082;-17.54699495
CARZO_556;-70.7307936;-17.5479245
CARZO_557;-70.73081262;-17.54870309
CARZO_558;-70.73023587;-17.54767707
CARZO_559;-70.72757553;-17.54769484
CARZO_560;-70.72755667;-17.54750624
CARZO_561;-70.72694538;-17.54755016
CARZO_562;-70.72687908;-17.54753684
CARZO_563;-70.72753706;-17.54815777
CARZO_564;-70.72801718;-17.548428
CARZO_565;-70.72856686;-17.54933191
CARZO_566;-70.72904438;-17.54978822
CARZO_567;-70.72909894;-17.54977045
CARZO_568;-70.72906927;-17.54976466
CARZO_569;-70.72905242;-17.54981009
CARZO_570;-70.72917606;-17.55026883
CARZO_571;-70.72904203;-17.55079991
CARZO_572;-70.72908897;-17.55101667
CARZO_573;-70.7314815;-17.55034209
CARZO_574;-70.73148611;-17.55030236
CARZO_575;-70.73048866;-17.55194304
CARZO_576;-70.73052269;-17.55307937
CARZO_577;-70.73019706;-17.55306839
CARZO_578;-70.73019169;-17.55307627
CARZO_579;-70.72930112;-17.55513604
CARZO_580;-70.72934286;-17.55512883
CARZO_581;-70.72977813;-17.55899205
CARZO_582;-70.72976958;-17.55898627
CARZO_583;-70.73099904;-17.56051127
CARZO_584;-70.73076367;-17.56016501
CARZO_585;-70.72940178;-17.56332071
CARZO_586;-70.72904421;-17.56385556
CARZO_587;-70.72904765;-17.5639025
CARZO_588;-70.72904781;-17.56390309
CARZO_589;-70.72904304;-17.56390904
CARZO_590;-70.72904329;-17.56391055
CARZO_591;-70.729037;-17.56401784
CARZO_592;-70.72903591;-17.56401306
CARZO_593;-70.7290303;-17.56404893
CARZO_594;-70.72903809;-17.56405061
CARZO_595;-70.72903482;-17.56406394
CARZO_596;-70.72903432;-17.56407249
CARZO_597;-70.72902703;-17.56408548
CARZO_598;-70.72902082;-17.56407936
CARZO_599;-70.72902166;-17.56408112
CARZO_600;-70.72902183;-17.56408338
CARZO_601;-70.7290246;-17.56411708
CARZO_602;-70.72902451;-17.56411733
CARZO_603;-70.72902535;-17.56412035
CARZO_604;-70.72903055;-17.56411146
CARZO_605;-70.72906542;-17.56420601
CARZO_606;-70.72902242;-17.56451522
CARZO_607;-70.74274963;-17.59631222
CARZO_608;-70.73951891;-17.59289282
CARZO_609;-70.73873118;-17.59013811
CARZO_610;-70.73844594;-17.58930855
