"","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","x","y"
"CARZO_64",65,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66676918,-17.43287609
"CARZO_65",66,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66676994,-17.43287642
"CARZO_66",67,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.6667893,-17.43287743
"CARZO_67",68,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66678586,-17.43287894
"CARZO_68",69,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66679542,-17.43293895
"CARZO_69",70,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66681411,-17.43290828
"CARZO_70",71,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66682375,-17.43293426
"CARZO_71",72,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66732356,-17.43309352
"CARZO_72",73,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66740252,-17.43310726
"CARZO_73",74,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.6674166,-17.43311355
"CARZO_74",75,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66745793,-17.43305848
"CARZO_75",76,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66853207,-17.43395635
"CARZO_76",77,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66851472,-17.43401075
"CARZO_77",78,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66853785,-17.43398577
"CARZO_78",79,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66870951,-17.43420705
"CARZO_79",80,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66893892,-17.43448089
